checking_status,duration,credit_history,credit_amount,savings_status,employment,personal_status,residence_since,property_magnitude,age,other_payment_plans,existing_credits,num_dependents,own_telephone,foreign_worker,installment_commitment,0,1,2,3,4,5,6,7,8,9,10,class
1,6,4,12,5,5,3,4,1,67,3,2,1,2,1,4,-0.7281303538565103,-0.3992479184320328,0.41875028431001765,-0.20622242388793455,0.10860619604142138,-0.049805393540937035,-0.007940822985014237,-0.20970802696495597,-0.008086499635406067,-0.027746090615389827,0.028040118268214023,1
2,48,2,60,1,3,2,2,1,22,3,1,1,1,1,2,-0.7281303538565103,-0.3992479184320328,0.41875028431001765,-0.20622242388793455,0.10860619604142138,-0.049805393540937035,-0.007940822985014237,-0.20970802696495597,-0.008086499635406067,-0.027746090615389827,0.028040118268214023,0
4,12,4,21,1,4,3,3,1,49,3,1,2,1,1,2,0.7217666899013249,-0.5909463599356807,0.0703237927667102,0.19132224377956245,-0.29919618735329023,-0.4981366589258717,0.19558422293895542,0.18823570949568139,-0.060714530293849114,0.9592629376787799,0.002652727916693805,1
1,42,2,79,1,4,3,4,2,45,3,1,2,1,1,2,-0.24462819890119436,0.8837226964945293,0.045485498560264265,0.44262445470732226,-0.16929268506672593,0.7979705892701034,1.1592592843623222,0.6851184631960264,0.3291905076613542,-0.19869270815179385,-0.6441281108420862,1
1,24,3,49,1,3,3,4,4,53,3,2,2,1,1,3,0.025493450980957354,0.8048543421240446,-0.5680334639387977,-0.731741958007097,0.2260988155045497,-0.127750985774795,0.7521008989529611,-0.08674558606392012,0.27538150569863223,-0.20589555602350162,-0.03191701041285545,0
4,36,2,91,5,3,3,4,4,35,3,1,2,2,1,2,1.0100909424322535,0.32740490256472526,0.3321058452584093,-0.04996061268246055,0.02271360012529794,-0.6790734628912241,1.00833265810488,0.26739003255746113,0.26655424410826306,0.7732907043037257,-0.022579915405046256,1
4,24,2,28,3,5,3,4,2,53,3,1,1,1,1,3,-0.4944402913076308,0.0018165829240315012,-0.3675096494132364,0.7848186338977167,-0.2406705637220329,0.09804904249519945,0.17304467937856358,-0.25968320993794375,-0.011024718274973899,-0.0546129062664476,-0.03559144000149561,1
2,36,2,69,1,3,3,2,3,35,3,1,1,2,1,2,0.9322444175004365,0.9047487451733797,0.42014179505688604,0.2067501031660396,0.7184189099236377,0.12901330785371842,-0.6927898125202472,0.07199382283483227,-0.6503257004275725,-0.03392849124248386,-0.02912526336132939,1
4,12,2,31,4,4,1,4,1,61,3,1,1,1,1,2,0.4472478013952295,-0.8951426270121936,0.7718431488116276,-0.1368199699569121,-0.2853590529141299,-0.26324659954026325,0.1638733825789904,-0.14075607871923176,-0.07397393832243226,-0.06001239878239156,0.05582119526118916,1
2,30,4,52,1,1,4,2,3,28,3,2,1,1,1,4,0.7686152389844223,-0.36784684296449105,-0.6260161248760906,-0.26330516965976686,0.566627739356641,0.48307549757852175,-0.33341805459706503,-0.38283846573796065,0.08838080607861434,0.025487057774266998,-0.07951618107584615,0
2,12,2,13,1,2,2,1,3,25,3,1,1,1,1,3,0.05658179948074723,1.0720669053931686,-0.33124160674729497,-0.701774288266405,-0.39106739176924904,0.06354255388358589,-0.3806749336777816,-0.254876376937103,-0.0423748607489083,-0.008296380071145736,-0.02180430206827131,0
1,48,2,43,1,2,2,4,2,24,3,1,1,1,1,3,-0.13920782454104197,1.0373639447752583,0.1711793130331587,-0.0020052976528188693,-0.2031093212799304,-0.4645765625892107,-0.7458732804939597,0.38770228463862183,0.5361620920613084,-0.15271402012366603,-0.024880811750567576,0
2,12,2,16,1,3,2,1,3,22,3,1,1,2,1,1,-0.7281303538565103,-0.3992479184320328,0.41875028431001765,-0.20622242388793455,0.10860619604142138,-0.049805393540937035,-0.007940822985014237,-0.20970802696495597,-0.008086499635406067,-0.027746090615389827,0.028040118268214023,1
1,24,4,12,1,5,3,4,3,60,3,2,1,1,1,4,0.9125473537017688,-0.6093916289565222,-0.47672265192888674,-0.4210566476140514,-0.4897762209295897,-0.1602553878087689,0.11116666935104118,-0.09694796087997563,-0.11777470739050616,-0.05218963081544902,0.02109670990185976,0
1,15,2,14,1,3,2,4,3,28,3,1,1,1,1,2,0.05658179948074723,1.0720669053931686,-0.33124160674729497,-0.701774288266405,-0.39106739176924904,0.06354255388358589,-0.3806749336777816,-0.254876376937103,-0.0423748607489083,-0.008296380071145736,-0.02180430206827131,1
